IBOV - Carteira do Dia 31/10/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,154;
PETR3;PETROBRAS;ON      N2;2.684.384.823;4,449;
PETR4;PETROBRAS;PN      N2;4.566.441.248;6,889;
PRIO3;PETRORIO;ON      NM;839.159.130;1,322;
PETZ3;PETZ;ON      NM;335.672.329;0,130;
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,039;
QUAL3;QUALICORP;ON      NM;277.039.277;0,096;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,376;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,240;
RDOR3;REDE D OR;ON      NM;932.048.593;1,312;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,196;
SBSP3;SABESP;ON      NM;340.002.999;0,938;
SANB11;SANTANDER BR;UNT EDJ;355.642.848;0,478;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,170;
CSNA3;SID NACIONAL;ON;589.695.175;0,336;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,201;
SULA11;SUL AMERICA;UNT     N2;284.059.601;0,297;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,855;
TAEE11;TAESA;UNT     N2;218.568.234;0,400;
VIVT3;TELEF BRASIL;ON;429.455.552;0,818;
TIMS3;TIM;ON      NM;808.436.195;0,491;
TOTS3;TOTVS;ON      NM;519.851.955;0,764;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,655;
USIM5;USIMINAS;PNA     N1;515.014.562;0,175;
VALE3;VALE;ON      NM;4.547.296.398;14,207;
VIIA3;VIA;ON      NM;1.576.975.642;0,222;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,906;
WEGE3;WEG;ON      NM;1.481.593.024;2,640;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,210;
Quantidade Teórica Total;;;100.579.945.354;100,000
Redutor;;;18.848.119,93683143
